release_id,fiscal_year,indicator_id,observed_cells,suppressed_cells,suppression_percentage,primary_bounded_cells,ambiguous_suppression_cells
No.10,2023,IND_5229015,45,2,4.26,0,2
No.10,2023,IND_5229018,41,6,12.77,0,6
No.10,2023,IND_5230001,28,19,40.43,0,19
No.10,2023,IND_5230004,28,19,40.43,0,19
No.10,2023,IND_5231003,21,26,55.32,0,26
No.10,2023,IND_5231014,17,30,63.83,0,30
No.10,2023,IND_5231017,29,18,38.3,0,18
No.10,2023,IND_5231018,47,0,0.0,0,0
No.10,2023,IND_5231027,38,9,19.15,0,9
No.10,2023,IND_5231029,47,0,0.0,0,0
No.10,2023,IND_5231032,27,20,42.55,0,20
No.10,2023,IND_5231039,19,28,59.57,0,28
No.10,2023,IND_5231042,0,47,100.0,0,47
No.10,2023,IND_5231044,30,17,36.17,0,17
No.10,2023,IND_5233004,47,0,0.0,0,0
No.10,2023,IND_5233007,29,18,38.3,0,18
No.10,2023,IND_5233008,47,0,0.0,0,0
No.10,2023,IND_5233009,47,0,0.0,0,0
No.10,2023,IND_5233010,47,0,0.0,0,0
No.10,2023,IND_5233014,35,12,25.53,0,12
No.10,2023,IND_5233027,47,0,0.0,0,0
No.10,2023,IND_5233028,19,28,59.57,0,28
No.10,2023,IND_5234009,47,0,0.0,0,0
No.10,2023,IND_5234013,38,9,19.15,0,9
No.10,2023,IND_5234016,47,0,0.0,0,0
No.10,2023,IND_5234028,31,16,34.04,0,16
No.10,2023,IND_5234030,47,0,0.0,0,0
No.10,2023,IND_5235002,34,13,27.66,0,13
No.10,2023,IND_5235003,38,9,19.15,0,9
No.10,2023,IND_5250001,47,0,0.0,0,0
No.10,2023,IND_5259011,33,14,29.79,0,14
No.10,2023,IND_8830786,47,0,0.0,0,0
No.10,2023,IND_8830787,47,0,0.0,0,0
No.10,2023,IND_8830788,47,0,0.0,0,0
No.10,2023,IND_8830789,47,0,0.0,0,0
No.10,2023,IND_8830790,47,0,0.0,0,0
No.10,2023,IND_8832354,47,0,0.0,0,0
No.10,2023,IND_8832361,25,22,46.81,0,22
No.10,2023,IND_8833898,20,27,57.45,0,27
No.10,2023,IND_8833899,47,0,0.0,0,0
No.10,2023,IND_8833900,36,11,23.4,0,11
No.10,2023,IND_8833902,25,22,46.81,0,22
No.10,2023,IND_8833904,34,13,27.66,0,13
No.10,2023,IND_8834149,47,0,0.0,0,0
No.10,2023,IND_8834171,32,15,31.91,0,15
No.10,2023,IND_8834286,32,15,31.91,0,15
No.10,2023,IND_8836818,0,47,100.0,0,47
No.10,2023,IND_8838389,47,0,0.0,0,0
No.10,2023,IND_8838390,37,10,21.28,0,10
No.10,2023,IND_8838391,47,0,0.0,0,0
No.10,2023,IND_8838392,45,2,4.26,0,2
No.10,2023,IND_8838935,31,16,34.04,0,16
No.10,2023,IND_8839667,42,5,10.64,0,5
No.10,2023,IND_8839668,45,2,4.26,0,2
No.10,2023,IND_8839995,41,6,12.77,0,6
No.10,2023,IND_8839996,41,6,12.77,0,6
No.10,2023,IND_8840348,47,0,0.0,0,0
No.10,2023,IND_8840350,29,18,38.3,0,18
No.10,2023,IND_8842270,47,0,0.0,0,0
No.10,2023,IND_8842275,35,12,25.53,0,12
No.10,2023,IND_8843129,18,29,61.7,0,29
No.10,2023,IND_8843130,26,21,44.68,0,21
No.10,2023,IND_8843285,47,0,0.0,0,0
No.10,2023,IND_8843291,33,14,29.79,0,14
No.10,2023,IND_8843292,38,9,19.15,0,9
No.10,2023,IND_8843319,0,47,100.0,0,47
No.10,2023,IND_8843327,43,4,8.51,0,4
No.10,2023,IND_8843405,45,2,4.26,0,2
No.10,2023,IND_8843442,45,2,4.26,0,2
No.10,2023,IND_8843447,37,10,21.28,0,10
No.10,2023,IND_8843607,47,0,0.0,0,0
No.10,2023,IND_8843612,45,2,4.26,0,2
No.10,2023,IND_8843614,47,0,0.0,0,0
No.10,2023,IND_8843615,47,0,0.0,0,0
No.10,2023,IND_8843616,47,0,0.0,0,0
No.10,2023,IND_8843617,47,0,0.0,0,0
No.10,2023,IND_8843826,33,14,29.79,0,14
No.10,2023,IND_8843836,47,0,0.0,0,0
No.10,2023,IND_8843837,45,2,4.26,0,2
No.10,2023,IND_8843838,47,0,0.0,0,0
No.10,2023,IND_8843839,42,5,10.64,0,5
No.10,2023,IND_8843840,42,5,10.64,0,5
No.10,2023,IND_8843841,45,2,4.26,0,2
No.10,2023,IND_8843842,42,5,10.64,0,5
No.10,2023,IND_8843843,47,0,0.0,0,0
No.10,2023,IND_8843844,47,0,0.0,0,0
No.10,2023,IND_8843845,47,0,0.0,0,0
No.10,2023,IND_8843846,38,9,19.15,0,9
No.10,2023,IND_8843859,20,27,57.45,0,27
No.10,2023,IND_8843860,34,13,27.66,0,13
No.10,2023,IND_8843861,39,8,17.02,0,8
No.10,2023,IND_8843875,30,17,36.17,0,17
No.10,2023,IND_8843885,33,14,29.79,0,14
No.10,2023,IND_8843901,27,20,42.55,0,20
No.10,2023,IND_8843902,47,0,0.0,0,0
No.10,2023,IND_8843917,31,16,34.04,0,16
No.10,2023,IND_8843947,47,0,0.0,0,0
No.10,2023,IND_8843972,44,3,6.38,0,3
No.10,2023,IND_8843977,40,7,14.89,0,7
No.10,2023,IND_8844118,47,0,0.0,0,0
No.10,2023,IND_8844119,35,12,25.53,0,12
No.10,2023,IND_8844171,47,0,0.0,0,0
No.10,2023,IND_8844172,47,0,0.0,0,0
No.10,2023,IND_8844173,47,0,0.0,0,0
No.10,2023,IND_8845690,40,7,14.89,0,7
No.10,2023,IND_8845720,45,2,4.26,0,2
No.10,2023,IND_8845721,47,0,0.0,0,0
No.10,2023,IND_8845780,45,2,4.26,0,2
No.10,2023,IND_8845930,41,6,12.77,0,6
No.10,2023,IND_8845969,24,23,48.94,0,23
No.10,2023,IND_8845970,38,9,19.15,0,9
No.10,2023,IND_8846215,29,18,38.3,0,18
No.10,2023,IND_8848125,18,29,61.7,0,29
No.10,2023,IND_8848845,47,0,0.0,0,0
No.10,2023,IND_8849579,27,20,42.55,0,20
No.10,2023,IND_8850212,30,17,36.17,0,17
No.10,2023,IND_8851003,47,0,0.0,0,0
No.11,2024,IND_5210011,47,0,0.0,0,0
No.11,2024,IND_5220026,29,18,38.3,0,18
No.11,2024,IND_5220034,24,23,48.94,0,23
No.11,2024,IND_5220035,27,20,42.55,0,20
No.11,2024,IND_5220045,39,8,17.02,0,8
No.11,2024,IND_5220057,36,11,23.4,0,11
No.11,2024,IND_5220058,45,2,4.26,0,2
No.11,2024,IND_5220061,36,11,23.4,0,11
No.11,2024,IND_5220063,47,0,0.0,0,0
No.11,2024,IND_5220064,42,5,10.64,0,5
No.11,2024,IND_5220067,40,7,14.89,0,7
No.11,2024,IND_5220069,41,6,12.77,0,6
No.11,2024,IND_5220070,34,13,27.66,0,13
No.11,2024,IND_5220072,42,5,10.64,0,5
No.11,2024,IND_5220074,32,15,31.91,0,15
No.11,2024,IND_5220075,34,13,27.66,0,13
No.11,2024,IND_5220077,45,2,4.26,0,2
No.11,2024,IND_5220078,37,10,21.28,0,10
No.11,2024,IND_5220082,39,8,17.02,0,8
No.11,2024,IND_5220084,43,4,8.51,0,4
No.11,2024,IND_5220085,35,12,25.53,0,12
No.11,2024,IND_5220089,42,5,10.64,0,5
No.11,2024,IND_5220091,45,2,4.26,0,2
No.11,2024,IND_5220093,30,17,36.17,0,17
No.11,2024,IND_5221012,47,0,0.0,0,0
No.11,2024,IND_5221013,47,0,0.0,0,0
No.11,2024,IND_5221015,43,4,8.51,0,4
No.11,2024,IND_5224011,41,6,12.77,0,6
No.11,2024,IND_5225001,34,13,27.66,0,13
No.11,2024,IND_5225006,47,0,0.0,0,0
No.11,2024,IND_5225012,38,9,19.15,0,9
No.11,2024,IND_5226005,26,21,44.68,0,21
No.11,2024,IND_5227001,47,0,0.0,0,0
No.11,2024,IND_5227005,26,21,44.68,0,21
No.11,2024,IND_5229014,0,47,100.0,0,47
No.11,2024,IND_5229015,47,0,0.0,0,0
No.11,2024,IND_5229018,42,5,10.64,0,5
No.11,2024,IND_5230001,24,23,48.94,0,23
No.11,2024,IND_5230004,28,19,40.43,0,19
No.11,2024,IND_5231003,25,22,46.81,0,22
No.11,2024,IND_5231014,17,30,63.83,0,30
No.11,2024,IND_5231017,29,18,38.3,0,18
No.11,2024,IND_5231018,47,0,0.0,0,0
No.11,2024,IND_5231027,39,8,17.02,0,8
No.11,2024,IND_5231029,47,0,0.0,0,0
No.11,2024,IND_5231032,31,16,34.04,0,16
No.11,2024,IND_5231039,23,24,51.06,0,24
No.11,2024,IND_5231044,26,21,44.68,0,21
No.11,2024,IND_5233004,47,0,0.0,0,0
No.11,2024,IND_5233007,33,14,29.79,0,14
No.11,2024,IND_5233008,47,0,0.0,0,0
No.11,2024,IND_5233009,47,0,0.0,0,0
No.11,2024,IND_5233010,47,0,0.0,0,0
No.11,2024,IND_5233014,36,11,23.4,0,11
No.11,2024,IND_5233027,47,0,0.0,0,0
No.11,2024,IND_5233028,21,26,55.32,0,26
No.11,2024,IND_5234009,47,0,0.0,0,0
No.11,2024,IND_5234013,30,17,36.17,0,17
No.11,2024,IND_5234016,47,0,0.0,0,0
No.11,2024,IND_5234028,32,15,31.91,0,15
No.11,2024,IND_5234030,47,0,0.0,0,0
No.11,2024,IND_5235002,36,11,23.4,0,11
No.11,2024,IND_5235003,32,15,31.91,0,15
No.11,2024,IND_5250001,47,0,0.0,0,0
No.11,2024,IND_5259011,29,18,38.3,0,18
No.11,2024,IND_8830786,47,0,0.0,0,0
No.11,2024,IND_8830787,47,0,0.0,0,0
No.11,2024,IND_8830788,47,0,0.0,0,0
No.11,2024,IND_8830789,47,0,0.0,0,0
No.11,2024,IND_8830790,47,0,0.0,0,0
No.11,2024,IND_8832354,47,0,0.0,0,0
No.11,2024,IND_8832361,26,21,44.68,0,21
No.11,2024,IND_8833898,25,22,46.81,0,22
No.11,2024,IND_8833899,47,0,0.0,0,0
No.11,2024,IND_8833902,22,25,53.19,0,25
No.11,2024,IND_8833904,32,15,31.91,0,15
No.11,2024,IND_8834149,47,0,0.0,0,0
No.11,2024,IND_8834171,28,19,40.43,0,19
No.11,2024,IND_8834286,30,17,36.17,0,17
No.11,2024,IND_8838389,47,0,0.0,0,0
No.11,2024,IND_8838390,36,11,23.4,0,11
No.11,2024,IND_8838391,45,2,4.26,0,2
No.11,2024,IND_8838392,45,2,4.26,0,2
No.11,2024,IND_8838935,26,21,44.68,0,21
No.11,2024,IND_8839667,44,3,6.38,0,3
No.11,2024,IND_8839668,44,3,6.38,0,3
No.11,2024,IND_8839996,43,4,8.51,0,4
No.11,2024,IND_8840348,47,0,0.0,0,0
No.11,2024,IND_8840350,35,12,25.53,0,12
No.11,2024,IND_8842270,47,0,0.0,0,0
No.11,2024,IND_8842275,36,11,23.4,0,11
No.11,2024,IND_8843129,26,21,44.68,0,21
No.11,2024,IND_8843130,31,16,34.04,0,16
No.11,2024,IND_8843285,45,2,4.26,0,2
No.11,2024,IND_8843291,32,15,31.91,0,15
No.11,2024,IND_8843292,40,7,14.89,0,7
No.11,2024,IND_8843319,43,4,8.51,0,4
No.11,2024,IND_8843327,41,6,12.77,0,6
No.11,2024,IND_8843405,0,47,100.0,0,47
No.11,2024,IND_8843442,42,5,10.64,0,5
No.11,2024,IND_8843447,37,10,21.28,0,10
No.11,2024,IND_8843607,47,0,0.0,0,0
No.11,2024,IND_8843612,45,2,4.26,0,2
No.11,2024,IND_8843614,47,0,0.0,0,0
No.11,2024,IND_8843615,47,0,0.0,0,0
No.11,2024,IND_8843616,47,0,0.0,0,0
No.11,2024,IND_8843617,47,0,0.0,0,0
No.11,2024,IND_8843826,37,10,21.28,0,10
No.11,2024,IND_8843836,47,0,0.0,0,0
No.11,2024,IND_8843837,47,0,0.0,0,0
No.11,2024,IND_8843838,47,0,0.0,0,0
No.11,2024,IND_8843839,39,8,17.02,0,8
No.11,2024,IND_8843840,45,2,4.26,0,2
No.11,2024,IND_8843841,44,3,6.38,0,3
No.11,2024,IND_8843842,43,4,8.51,0,4
No.11,2024,IND_8843843,47,0,0.0,0,0
No.11,2024,IND_8843844,47,0,0.0,0,0
No.11,2024,IND_8843845,47,0,0.0,0,0
No.11,2024,IND_8843846,35,12,25.53,0,12
No.11,2024,IND_8843859,31,16,34.04,0,16
No.11,2024,IND_8843860,37,10,21.28,0,10
No.11,2024,IND_8843861,37,10,21.28,0,10
No.11,2024,IND_8843875,29,18,38.3,0,18
No.11,2024,IND_8843885,32,15,31.91,0,15
No.11,2024,IND_8843901,29,18,38.3,0,18
No.11,2024,IND_8843902,47,0,0.0,0,0
No.11,2024,IND_8843917,31,16,34.04,0,16
No.11,2024,IND_8843947,47,0,0.0,0,0
No.11,2024,IND_8843972,45,2,4.26,0,2
No.11,2024,IND_8843977,40,7,14.89,0,7
No.11,2024,IND_8844118,47,0,0.0,0,0
No.11,2024,IND_8844119,33,14,29.79,0,14
No.11,2024,IND_8844171,47,0,0.0,0,0
No.11,2024,IND_8844172,47,0,0.0,0,0
No.11,2024,IND_8844173,47,0,0.0,0,0
No.11,2024,IND_8845690,40,7,14.89,0,7
No.11,2024,IND_8845720,45,2,4.26,0,2
No.11,2024,IND_8845721,47,0,0.0,0,0
No.11,2024,IND_8845780,47,0,0.0,0,0
No.11,2024,IND_8845930,43,4,8.51,0,4
No.11,2024,IND_8845969,28,19,40.43,0,19
No.11,2024,IND_8845970,36,11,23.4,0,11
No.11,2024,IND_8846215,30,17,36.17,0,17
No.11,2024,IND_8848125,24,23,48.94,0,23
No.11,2024,IND_8848845,47,0,0.0,0,0
No.11,2024,IND_8849579,26,21,44.68,0,21
No.11,2024,IND_8850212,33,14,29.79,0,14
No.11,2024,IND_8851003,47,0,0.0,0,0
No.2,2015,IND_5210011,47,0,0.0,0,0
No.2,2015,IND_5220026,2,45,95.74,0,45
No.2,2015,IND_5220034,6,41,87.23,0,41
No.2,2015,IND_5220035,31,16,34.04,0,16
No.2,2015,IND_5220045,0,47,100.0,0,47
No.2,2015,IND_5220057,5,42,89.36,0,42
No.2,2015,IND_5220058,44,3,6.38,0,3
No.2,2015,IND_5220061,23,24,51.06,0,24
No.2,2015,IND_5220063,47,0,0.0,0,0
No.2,2015,IND_5220064,43,4,8.51,0,4
No.2,2015,IND_5220067,0,47,100.0,0,47
No.2,2015,IND_5220069,20,27,57.45,0,27
No.2,2015,IND_5220070,14,33,70.21,0,33
No.2,2015,IND_5220072,36,11,23.4,0,11
No.2,2015,IND_5220074,29,18,38.3,0,18
No.2,2015,IND_5220075,9,38,80.85,0,38
No.2,2015,IND_5220077,1,46,97.87,0,46
No.2,2015,IND_5220078,4,43,91.49,0,43
No.2,2015,IND_5220082,36,11,23.4,0,11
No.2,2015,IND_5220084,0,47,100.0,0,47
No.2,2015,IND_5220085,4,43,91.49,0,43
No.2,2015,IND_5220089,37,10,21.28,0,10
No.2,2015,IND_5220091,2,45,95.74,0,45
No.2,2015,IND_5220093,5,42,89.36,0,42
No.2,2015,IND_5221012,47,0,0.0,0,0
No.2,2015,IND_5221013,47,0,0.0,0,0
No.2,2015,IND_5221015,0,47,100.0,0,47
No.2,2015,IND_5224011,40,7,14.89,0,7
No.2,2015,IND_5225001,31,16,34.04,0,16
No.2,2015,IND_5225006,47,0,0.0,0,0
No.2,2015,IND_5225012,44,3,6.38,0,3
No.2,2015,IND_5227001,47,0,0.0,0,0
No.2,2015,IND_5227005,19,28,59.57,0,28
No.2,2015,IND_5227011,14,33,70.21,0,33
No.2,2015,IND_5229014,0,47,100.0,0,47
No.2,2015,IND_5229015,42,5,10.64,0,5
No.2,2015,IND_5229016,41,6,12.77,0,6
No.2,2015,IND_5229018,34,13,27.66,0,13
No.2,2015,IND_5230001,24,23,48.94,0,23
No.2,2015,IND_5230004,0,47,100.0,0,47
No.2,2015,IND_5231003,13,34,72.34,0,34
No.2,2015,IND_5231014,14,33,70.21,0,33
No.2,2015,IND_5231017,5,42,89.36,0,42
No.2,2015,IND_5231018,47,0,0.0,0,0
No.2,2015,IND_5231027,0,47,100.0,0,47
No.2,2015,IND_5231029,47,0,0.0,0,0
No.2,2015,IND_5231039,21,26,55.32,0,26
No.2,2015,IND_5231044,9,38,80.85,0,38
No.2,2015,IND_5233004,47,0,0.0,0,0
No.2,2015,IND_5233007,30,17,36.17,0,17
No.2,2015,IND_5233008,47,0,0.0,0,0
No.2,2015,IND_5233009,47,0,0.0,0,0
No.2,2015,IND_5233010,47,0,0.0,0,0
No.2,2015,IND_5233014,2,45,95.74,0,45
No.2,2015,IND_5233027,47,0,0.0,0,0
No.2,2015,IND_5233028,21,26,55.32,0,26
No.2,2015,IND_5234009,47,0,0.0,0,0
No.2,2015,IND_5234013,10,37,78.72,0,37
No.2,2015,IND_5234016,47,0,0.0,0,0
No.2,2015,IND_5234028,16,31,65.96,0,31
No.2,2015,IND_5234030,47,0,0.0,0,0
No.2,2015,IND_5235002,26,21,44.68,0,21
No.2,2015,IND_5250001,47,0,0.0,0,0
No.2,2015,IND_5259011,20,27,57.45,0,27
No.2,2015,IND_8830786,47,0,0.0,0,0
No.2,2015,IND_8830787,47,0,0.0,0,0
No.2,2015,IND_8830788,47,0,0.0,0,0
No.2,2015,IND_8830789,47,0,0.0,0,0
No.2,2015,IND_8830790,47,0,0.0,0,0
No.2,2015,IND_8832354,47,0,0.0,0,0
No.2,2015,IND_8832361,7,40,85.11,0,40
No.2,2015,IND_8833898,6,41,87.23,0,41
No.2,2015,IND_8833899,47,0,0.0,0,0
