fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2014,2014-10-01,29,奈良県,1375783,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,30,和歌山県,971165,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,31,鳥取県,573940,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,32,島根県,696516,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,33,岡山県,1924147,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,34,広島県,2833320,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,35,山口県,1408178,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,36,徳島県,763864,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,37,香川県,981082,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,38,愛媛県,1395483,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,39,高知県,737737,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
