release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.10,2023,IND_5210011,根充済み,45,宮崎県,17.5624,17.5624,47.0,47.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,46,鹿児島県,1933.5055,1933.5055,3.0,3.0,0.0,stable_point_identified,
No.10,2023,IND_5210011,根充済み,47,沖縄県,164.1008,164.1008,25.0,25.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,01,北海道,260.8765,260.8765,14.0,14.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,02,青森県,437.9399,437.9399,8.0,8.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,03,岩手県,119.214,119.214,31.0,31.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,04,宮城県,93.194,93.194,39.0,39.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,05,秋田県,217.7258,217.7258,17.0,17.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,06,山形県,350.8408,350.8408,11.0,11.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,07,福島県,106.0241,106.0241,35.0,35.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,08,茨城県,224.6971,224.6971,16.0,16.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,09,栃木県,214.9072,214.9072,18.0,18.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,10,群馬県,678.5185,678.5185,6.0,6.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,11,埼玉県,193.0851,193.0851,20.0,20.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,12,千葉県,93.729,93.729,38.0,38.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,13,東京都,140.45,140.45,29.0,29.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,14,神奈川県,166.5257,166.5257,25.0,25.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,15,新潟県,5350.4526,5350.4526,1.0,1.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,16,富山県,864.995,864.995,4.0,4.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,17,石川県,78.5064,78.5064,40.0,40.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,18,福井県,123.6806,123.6806,30.0,30.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,19,山梨県,75.7269,75.7269,42.0,42.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,20,長野県,719.7282,719.7282,5.0,5.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,21,岐阜県,109.238,109.238,34.0,34.0,0.0,stable_point_identified,
