release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,cell_state,suppression_subtype,observed_count,count_lower,count_upper,bounds_status,ambiguity_flag
No.1,2014,IND_5220077,血行性歯髄炎,38,愛媛県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,39,高知県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,40,福岡県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,41,佐賀県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,42,長崎県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,43,熊本県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,44,大分県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,45,宮崎県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,46,鹿児島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_5220077,血行性歯髄炎,47,沖縄県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,01,北海道,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,02,青森県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,03,岩手県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,04,宮城県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,05,秋田県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,06,山形県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,07,福島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,08,茨城県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,09,栃木県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,10,群馬県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,11,埼玉県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,12,千葉県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,13,東京都,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,14,神奈川県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,15,新潟県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,16,富山県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,17,石川県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,18,福井県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,19,山梨県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,20,長野県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,21,岐阜県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,22,静岡県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,23,愛知県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,24,三重県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,25,滋賀県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,26,京都府,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,27,大阪府,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,28,兵庫県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,29,奈良県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,30,和歌山県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,31,鳥取県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,32,島根県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,33,岡山県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,34,広島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,35,山口県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,36,徳島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,37,香川県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
